core_id,layer_group_id,layer_group_type,duration(us),inst_num,cache_miss,ALU,LT(Cycles),CT(Cycles),iodma_rd(B),iodma_wr(B),shrm_rd(B),shrm_wr(B),broadcast(B)
0,8138,INIT_SYNC,14.76,118,5,35,0,0,128,25472,0,0,0
0,8139,NOTIFY,4.28,114,5,35,0,1,128,256,0,0,0
0,RPAS_7493,STRIDEDSLICE,8.08,96,4,27,0,0,0,128,0,0,0
0,RPAS_7494,STRIDEDSLICE,5.68,96,4,27,0,0,0,128,0,0,0
0,RPAS_8212,NOTIFY,4.4,96,4,27,0,0,0,128,0,0,0
0,RPAS_7495,STRIDEDSLICE,6.2,96,4,27,0,0,0,128,0,0,0
0,RPAS_7496,STRIDEDSLICE,11.4,96,4,27,0,0,0,128,0,0,0
0,RPAS_8213,NOTIFY,4.8,96,4,27,0,0,0,128,0,0,0
0,RPAS_7497,STRIDEDSLICE,8.2,96,4,27,0,0,0,128,0,0,0
0,RPAS_7498,STRIDEDSLICE,5.04,96,4,27,0,0,0,128,0,0,0
0,RPAS_8214,NOTIFY,4.72,96,4,27,0,0,0,128,0,0,0
0,RPAS_7499,STRIDEDSLICE,9.72,96,4,27,0,0,0,128,0,0,0
0,RPAS_7500,STRIDEDSLICE,10.08,96,4,27,0,0,0,128,0,0,0
0,RPAS_8215,NOTIFY,4.28,96,4,27,0,0,0,128,0,0,0
0,RPAS_8436,POLL,4.12,96,4,27,0,0,0,128,0,0,0
0,5652,TFU,2687.52,37670,76,1238,463104,302962,0,128,1065792,4177920,0
0,RPAS_8140,NOTIFY,5.24,96,4,27,0,0,0,128,0,0,0
0,RPAS_8508,POLL,5.48,96,4,27,0,0,0,128,0,0,0
0,RPAS_7501,ACTIVE,4.64,96,4,27,0,0,0,128,0,0,0
0,RPAS_8216,NOTIFY,4.04,96,4,27,0,0,0,128,0,0,0
0,RPAS_8437,POLL,3.28,96,4,27,0,0,0,128,0,0,0
0,5653,TFU,2696.32,5935,3,856,347904,307908,0,128,9103680,2048000,0
0,RPAS_8141,NOTIFY,5.8,96,4,27,0,0,0,128,0,0,0
0,RPAS_8509,POLL,6,96,4,27,0,0,0,128,0,0,0
0,RPAS_7502,ACTIVE,5.48,96,4,27,0,0,0,128,0,0,0
0,RPAS_8217,NOTIFY,17.88,96,4,27,0,0,0,128,0,0,0
0,RPAS_8510,POLL,5,96,4,27,0,0,0,128,0,0,0
0,RPAS_7503,MULT,2.84,96,4,27,0,0,0,128,0,0,0
0,RPAS_7944,SPLIT,4.44,96,4,27,0,0,0,128,0,0,0
0,7504,CONV,413.92,273,5,89,9600,22406,512768,256128,0,2048,24576
0,7509,CONV,396.8,273,5,89,9600,22406,512896,256128,0,2048,24576
0,7507,ACTIVE,74.04,262,9,96,0,10105,257920,256128,0,0,0
0,7512,ACTIVE,70.04,262,9,96,0,10105,257920,256128,0,0,0
0,7508,MULT,295.2,208,8,71,0,2000,512128,256128,0,0,0
0,RPAS_7946,CONCAT,3.72,96,4,27,0,0,0,128,0,0,0
0,RPAS_8322,NOTIFY,4.32,96,4,27,0,0,0,128,0,0,0
0,7513,MULT,142.32,206,8,69,0,2000,512000,256128,0,0,0
0,7514,CONV,268.04,252,5,87,6400,19206,256768,256128,0,2048,16384
0,7517,ACTIVE,231.08,266,9,100,0,10105,258432,256128,0,0,0
0,RPAS_7931,CONCAT,4,96,4,27,0,0,0,128,0,0,0
0,RPAS_8314,NOTIFY,4.32,96,4,27,0,0,0,128,0,0,0
0,RPAS_7930,CONCAT,3.6,96,4,27,0,0,0,128,0,0,0
0,RPAS_8313,NOTIFY,4.12,96,4,27,0,0,0,128,0,0,0
0,RPAS_8438,POLL,4,96,4,27,0,0,0,128,0,0,0
0,5654,TFU,1088.56,1558,4,228,230976,115336,0,128,2496640,1024000,0
0,RPAS_8142,NOTIFY,5.4,96,4,27,0,0,0,128,0,0,0
0,RPAS_8511,POLL,5.36,96,4,27,0,0,0,128,0,0,0
0,RPAS_7518,ACTIVE,5.48,96,4,27,0,0,0,128,0,0,0
0,RPAS_7933,SPLIT,5.92,96,4,27,0,0,0,128,0,0,0
0,RPAS_8649,POLL,4.8,96,4,27,0,0,0,128,0,0,0
0,RPAS_7932,SPLIT,4.6,96,4,27,0,0,0,128,0,0,0
0,7519,MULT,415.56,210,8,73,0,2000,512256,256128,0,0,0
0,7520,ADD,156.12,206,8,69,0,2000,512000,256128,0,0,0
0,7521,CONV,293.88,252,5,87,6400,19206,256896,256128,0,2048,16384
0,7524,ACTIVE,186.36,266,9,100,0,10105,258176,256128,0,0,0
0,7935,CONCAT,5.2,106,5,30,0,0,0,128,0,0,0
0,8316,NOTIFY,25.92,114,5,35,0,1,128,256,0,0,0
0,RPAS_7934,CONCAT,4.24,96,4,27,0,0,0,128,0,0,0
0,RPAS_8315,NOTIFY,2,96,4,27,0,0,0,128,0,0,0
0,RPAS_8439,POLL,2.48,96,4,27,0,0,0,128,0,0,0
0,5655,TFU,1082.92,1558,5,228,230976,115336,0,128,2496640,1024000,0
0,RPAS_8143,NOTIFY,4.24,96,4,27,0,0,0,128,0,0,0
0,RPAS_7525,ACTIVE,4.48,96,4,27,0,0,0,128,0,0,0
0,RPAS_7936,SPLIT,3.88,96,4,27,0,0,0,128,0,0,0
0,RPAS_8650,POLL,4.4,96,4,27,0,0,0,128,0,0,0
0,RPAS_7937,SPLIT,6.56,96,4,27,0,0,0,128,0,0,0
0,7526,MULT,345.48,210,8,73,0,2000,512256,256128,0,0,0
0,7527,ADD,134.12,206,8,69,0,2000,512000,256128,0,0,0
0,7528,CONV,298.48,252,5,87,6400,19206,256768,256128,0,2048,16384
0,7531,ACTIVE,206.56,266,9,100,0,10105,258432,256128,0,0,0
0,RPAS_7938,CONCAT,4.04,96,4,27,0,0,0,128,0,0,0
0,RPAS_8317,NOTIFY,4.16,96,4,27,0,0,0,128,0,0,0
0,RPAS_7939,CONCAT,3.96,96,4,27,0,0,0,128,0,0,0
0,RPAS_8318,NOTIFY,4.68,96,4,27,0,0,0,128,0,0,0
0,RPAS_8440,POLL,4.76,96,4,27,0,0,0,128,0,0,0
0,5656,TFU,1087.4,1558,6,228,230976,115336,0,128,2496640,1024000,0
0,RPAS_8144,NOTIFY,5.36,96,4,27,0,0,0,128,0,0,0
0,RPAS_8512,POLL,5.12,96,4,27,0,0,0,128,0,0,0
0,RPAS_7532,ACTIVE,5.36,96,4,27,0,0,0,128,0,0,0
0,RPAS_7941,SPLIT,5.12,96,4,27,0,0,0,128,0,0,0
0,RPAS_8651,POLL,5.76,96,4,27,0,0,0,128,0,0,0
0,RPAS_7940,SPLIT,7.68,96,4,27,0,0,0,128,0,0,0
0,7533,MULT,350.68,210,8,73,0,2000,512256,256128,0,0,0
0,7534,ADD,300,208,8,71,0,2000,512128,256128,0,0,0
0,7535,CONV,362.16,254,5,89,6400,19206,257024,256128,0,2048,16384
0,RPAS_7945,CONCAT,4.32,96,4,27,0,0,0,128,0,0,0
0,RPAS_8321,NOTIFY,4.64,96,4,27,0,0,0,128,0,0,0
